Remitente,Diagnostico,Última Modificacion,ID,Grupo Asignado
gayungan,LOCAL CELL ID 3,gayungan,INC000087068904,Redes Inalámbricas - Móvil Pacífico
svnaranjo,FALLA DE AC,svnaranjo,INC000087068140,Unidad de Soporte de Servicios Masivos
rtaco,CAIDO,yibarra,INC000087067905,Huawei
svnaranjo,CAIDO,yibarra,INC000087065097,Unidad de Soporte de Servicios Masivos
wllumitaxi,FALLA AC,wllumitaxi,INC000087064330,Redes Inalámbricas - Móvil Pacífico
svnaranjo,CAIDO,yibarra,INC000087064329,Energía y Climatización - Región Pacífico
atrujillo,Voltaje F1/F2,atrujillo,INC000087063565,Energía y Climatización - Región Andina
svnaranjo,CAIDO,yibarra,INC000087063564,Unidad de Soporte de Servicios Masivos
atrujillo,Voltaje F1/F2,atrujillo,INC000087063560,Unidad de Soporte de Servicios Masivos
atrujillo,Falla de red rectificador.,atrujillo,INC000087063557,Unidad de Soporte de Servicios Masivos
gayungan,LOCAL CELL ID 2,yacunia,INC000087063554,Redes Inalámbricas - Móvil Pacífico
atrujillo,MONITOREO,atrujillo,INC000087063551,Manabi - O&M Total
rtaco,CAIDO,yibarra,INC000087062789,Sucumbios - O&M Total
gayungan,CAIDO,gayungan,INC000087062026,Redes Inalámbricas - Móvil Andina
atrujillo,Voltaje F1/F2,atrujillo,INC000087061264,Esmeraldas - O&M Total
svnaranjo,CAIDO,yibarra,INC000087058222,Esmeraldas - O&M Total
rtaco,CAIDO,yibarra,INC000087058213,Los Rios - O&M Total
atrujillo,Voltaje F1/F2,atrujillo,INC000087058209,Energía y Climatización - Región Pacífico
lveintimilla,CAIDO,yibarra,INC000087056688,Sto Domingo - O&M Total
aortiz,ENERGÍA,gayungan,INC000087052882,Imbabura - O&M Total
lveintimilla,CAIDO,mdpacheco,INC000087052881,Redes Inalámbricas - Troncalizado Pacífico
lveintimilla,Falla de AC,svnaranjo,INC000087052877,Imbabura - O&M Total
aortiz,CAIDO,wllumitaxi,INC000087051358,Redes Inalámbricas - Móvil Pacífico
aortiz,CAIDO,wllumitaxi,INC000087047522,Redes Inalámbricas - Móvil Pacífico
aortiz,ENERGÍA,wllumitaxi,INC000087047518,Redes Inalámbricas - Móvil Pacífico
lveintimilla,FALLA DE AC,svnaranjo,INC000087047517,Los Rios - O&M Total
aortiz,CAIDO,wllumitaxi,INC000087047515,Redes Inalámbricas - Móvil Pacífico
aortiz,CAIDO,gayungan,INC000087047512,Redes Inalámbricas - Móvil Andina
inoguera,CAIDO,lveintimilla,INC000087046751,Santa Elena - O&M Total
lveintimilla,CAIDO,lveintimilla,INC000087046476,Sto Domingo - O&M Total
lveintimilla,caidos,yibarra,INC000087044381,Bolivar - O&M Total
lveintimilla,FALLA DE AC,lveintimilla,INC000087042194,Santa Elena - O&M Total
lveintimilla,FALLA DE AC,atrujillo,INC000087042191,Sto Domingo - O&M Total
aortiz,CAIDO,wllumitaxi,INC000087036883,Redes Inalámbricas - Región Chimborazo
inoguera,BAJON DE TRAFICO,rtaco,INC000087033091,Redes IP/MPLS - Región Andina
aortiz,ENERGIA,gayungan,INC000087031573,Sto Domingo - O&M Total
